zipcode,city,county,su_name,su_id
28170,Wadesboro,Anson,Anson,611
28135,Polkton,Anson,Anson,611
28133,Peachland,Anson,Anson,611
28119,Morven,Anson,Anson,611
28091,Lilesville,Anson,Anson,611
28007,Ansonville,Anson,Anson,611
28083,Kannapolis,Cabarrus,Trailblazers,621
28082,Kannapolis,Cabarrus,Trailblazers,621
28081,Kannapolis,Cabarrus,Trailblazers,621
28027,Concord,Cabarrus,Trailblazers,621
28124,Mount Pleasant,Cabarrus,CAB II,622
28107,Midland,Cabarrus,CAB II,622
28075,Harrisburg,Cabarrus,CAB II,622
28026,Concord,Cabarrus,CAB II,622
28025,Concord,Cabarrus,CAB II,622
28078,Huntersville,Mecklenburg,Meck 1,631
28070,Huntersville,Mecklenburg,Meck 1,631
28036,Davidson,Mecklenburg,Meck 1,631
28035,Davidson,Mecklenburg,Meck 1,631
28031,Cornelius,Mecklenburg,Meck 1,631
28280,Charlotte,Mecklenburg,Pacesetters,632
28216,Charlotte,Mecklenburg,Pacesetters,632
28215,Charlotte,Mecklenburg,Pacesetters,632
28214,Charlotte,Mecklenburg,Pacesetters,632
28208,Charlotte,Mecklenburg,Pacesetters,632
28202,Charlotte,Mecklenburg,Pacesetters,632
28130,Paw Creek,Mecklenburg,Pacesetters,632
28269,Charlotte,Mecklenburg,Meck 4,634
28262,Charlotte,Mecklenburg,Meck 4,634
28213,Charlotte,Mecklenburg,Meck 4,634
28206,Charlotte,Mecklenburg,Meck 4,634
28227,Charlotte,Mecklenburg,Meck 7,637
28212,Charlotte,Mecklenburg,Meck 7,637
28205,Charlotte,Mecklenburg,Meck 7,637
28270,Charlotte,Mecklenburg,Meck 8,638
28211,Charlotte,Mecklenburg,Meck 8,638
28105,Matthews,Mecklenburg,Meck 8,638
28278,Charlotte,Mecklenburg,Meck 12,642
28273,Charlotte,Mecklenburg,Meck 12,642
28217,Charlotte,Mecklenburg,Meck 12,642
28277,Charlotte,Mecklenburg,Meck 13,643
28134,Pineville,Mecklenburg,Meck 13,643
28226,Charlotte,Mecklenburg,Meck 19,649
28210,Charlotte,Mecklenburg,Meck 19,649
28209,Charlotte,Mecklenburg,Meck 19,649
28207,Charlotte,Mecklenburg,Meck 19,649
28204,Charlotte,Mecklenburg,Meck 19,649
28203,Charlotte,Mecklenburg,Meck 19,649
27371,Troy,Montgomery,Montgomery,651
27356,Star,Montgomery,Montgomery,651
27306,Mount Gilead,Montgomery,Montgomery,651
27229,Candor,Montgomery,Montgomery,651
27209,Biscoe,Montgomery,Montgomery,651
28159,Spencer,Rowan,Rowan,661
28147,Salisbury,Rowan,Rowan,661
28146,Salisbury,Rowan,Rowan,661
28145,Salisbury,Rowan,Rowan,661
28144,Salisbury,Rowan,Rowan,661
28138,Rockwell,Rowan,Rowan,661
28125,Mount Ulla,Rowan,Rowan,661
28088,Landis,Rowan,Rowan,661
28072,Granite Quarry,Rowan,Rowan,661
28071,Gold Hill,Rowan,Rowan,661
28041,Faith,Rowan,Rowan,661
28039,East Spencer,Rowan,Rowan,661
28023,China Grove,Rowan,Rowan,661
27054,Woodleaf,Rowan,Rowan,661
27013,Cleveland,Rowan,Rowan,661
28163,Stanfield,Stanly,Stanly,671
28137,Richfield,Stanly,Stanly,671
28129,Oakboro,Stanly,Stanly,671
28128,"Norwood, Aquadale",Stanly,Stanly,671
28127,New London,Stanly,Stanly,671
28097,Locust,Stanly,Stanly,671
28009,Badin,Stanly,Stanly,671
28002,Millingport,Stanly,Stanly,671
28001,Albemarle,Stanly,Stanly,671
28104,"Matthews, Stallings Weddington",Union,Union 1,681
28079,Indian Trail/Hemby Bridge,Union,Union 1,681
28174,Wingate,Union,Union 2,682
28112,Monroe & Unionville,Union,Union 2,682
28111,Monroe & Unionville,Union,Union 2,682
28110,Monroe & Unionville,Union,Union 2,682
28103,Marshville,Union,Union 2,682
28173,Waxhaw & Marvin,Union,Union 3,683
28108,Mineral Springs,Union,Union 3,683
28106,"Matthews, Stallings Weddington",Union,Union 3,683
29745,York,York,York 1,691
29743,Smyrna,York,York 1,691
29742,Sharon,York,York 1,691
29734,Rock Hill,York,York 1,691
29733,Rock Hill,York,York 1,691
29732,Rock Hill,York,York 1,691
29731,Rock Hill,York,York 1,691
29730,Rock Hill,York,York 1,691
29726,McConnells,York,York 1,691
29717,Hickory Grove,York,York 1,691
29704,Catawba,York,York 1,691
29716,Fort Mill,York,York 2,692
29715,Fort Mill,York,York 2,692
29710,Clover,York,York 2,692
29708,Fort Mill/Tega Cay ,York,York 2,692
